family,m,r,k,seed,step,edge,old_weight,delta,changed_entries,active_row_descriptors,compression_ratio,max_cyclic_intervals_per_row,interval_violations,support_equivalence,unique_row_interval_shapes,bitonic_rows_tested,bitonic_violations,unimodal_peak_violations,max_slack_sign_turns
road,12,144,44,0,2,"((4, 2), (4, 3))",0.9299092033594866,0.38893441398031625,128,22,5.818181818181818,1,0,True,8,20,0,0,0
road,12,144,44,0,3,"((10, 8), (11, 8))",0.9019430142317586,0.24760084912126473,148,43,3.441860465116279,1,0,True,10,18,0,0,1
road,12,144,44,0,4,"((8, 6), (8, 7))",1.1405604889115728,0.8402125150149589,276,34,8.117647058823529,1,0,True,12,34,0,0,1
road,12,144,44,0,5,"((6, 4), (7, 4))",1.4237810069913335,0.40718828353682773,110,17,6.470588235294118,1,0,True,8,17,0,0,1
road,12,144,44,1,0,"((2, 8), (2, 9))",0.8816241344790066,0.4633411999089586,148,26,5.6923076923076925,1,0,True,14,18,0,0,0
road,12,144,44,1,1,"((7, 7), (8, 7))",1.0195430290313834,0.5579301022857587,152,26,5.846153846153846,1,0,True,16,21,0,0,1
road,12,144,44,1,2,"((10, 9), (9, 9))",1.0123922585129093,0.6139922288286351,90,20,4.5,1,0,True,5,16,0,0,0
road,12,144,44,1,3,"((8, 1), (9, 1))",1.049956182588936,0.6133618453814065,272,28,9.714285714285714,1,0,True,10,24,0,0,0
road,12,144,44,1,4,"((1, 5), (2, 5))",1.4783129678977402,0.24764396398819316,166,24,6.916666666666667,1,0,True,8,21,0,0,0
road,12,144,44,1,5,"((4, 3), (5, 3))",1.3630089022020042,0.8402218796208898,172,20,8.6,1,0,True,6,20,0,0,1
random_planar,6,36,20,0,0,"(15, 32)",0.9110537647702265,0.7741487933901106,50,16,3.125,1,0,True,8,9,0,0,1
random_planar,6,36,20,0,1,"(28, 30)",0.7720085335168266,0.670135007348575,70,16,4.375,1,0,True,8,13,0,0,1
random_planar,6,36,20,0,2,"(16, 23)",0.9280951018616009,0.4492467307162223,26,14,1.8571428571428572,1,0,True,2,1,0,0,1
random_planar,6,36,20,0,3,"(30, 9)",1.442802019669654,1.1188232491211485,24,9,2.6666666666666665,1,0,True,4,6,0,0,1
random_planar,6,36,20,0,4,"(25, 30)",1.352089281290821,1.2585003177405176,82,15,5.466666666666667,1,0,True,7,14,0,0,1
random_planar,6,36,20,0,5,"(21, 31)",0.7943629993032805,0.21696849669025564,52,13,4.0,1,0,True,9,11,0,0,1
random_planar,6,36,20,1,0,"(24, 9)",0.7790783769131512,0.28491760924612697,28,15,1.8666666666666667,1,0,True,2,1,0,0,1
random_planar,6,36,20,1,1,"(20, 32)",1.0732709586123759,0.5262048279476911,56,12,4.666666666666667,1,0,True,6,11,0,0,1
random_planar,6,36,20,1,2,"(21, 3)",1.2441841727424272,0.4844775408737198,28,15,1.8666666666666667,1,0,True,2,1,0,0,1
random_planar,6,36,20,1,3,"(29, 30)",1.628394134894819,0.6258748641384027,44,13,3.3846153846153846,1,0,True,2,2,0,0,1
random_planar,6,36,20,1,4,"(22, 26)",1.4607789857083993,1.3013705863847669,46,13,3.5384615384615383,1,0,True,5,8,0,0,1
